Filename,Compared Field,Compared Value,FBID,Difference,Absolute Difference,Prefix Match,Suffix Match,Matching Percentage
600418025_1322112649942876_500889488302782789_n.jpg,part2,1322112649942876,1322112646609543,3333333,3333333,9,0,56.25
579103447_1288399746647500_6941272997781494269_n.jpg,part2,1288399746647500,1288399743314167,3333333,3333333,9,0,56.25
598874537_1318841740269967_2190712854259390556_n.jpg,part2,1318841740269967,1318841736936634,3333333,3333333,8,0,50.00
612192024_1334098278744313_6292873027334953775_n.jpg,part2,1334098278744313,1334098265410981,13333332,13333332,8,0,50.00
558180563_1258018463018962_1102290121405394653_n.jpg,part2,1258018463018962,1258018459685629,3333333,3333333,8,0,50.00
557265986_1256864996467642_8636189322566586351_n.jpg,part2,1256864996467642,1256864993134309,3333333,3333333,9,0,56.25
621676539_1354264923394315_3241939329816433855_n.jpg,part2,1354264923394315,1354264920060982,3333333,3333333,9,0,56.25
594164034_1309333981220743_2282999136054261684_n.jpg,part2,1309333981220743,1309333977887410,3333333,3333333,8,0,50.00
711474740_1459105766243563_3545450713749170309_n.jpg,part2,1459105766243563,1459105762910230,3333333,3333333,9,0,56.25
588183995_1299455425541932_20664147755203012_n.jpg,part2,1299455425541932,1299455418875266,6666666,6666666,8,0,50.00
626117221_1357644896389651_6276277740308239383_n.jpg,part2,1357644896389651,1357644889722985,6666666,6666666,8,0,50.00
632345322_1368402841980523_9105510148304435630_n.jpg,part2,1368402841980523,1368402835313857,6666666,6666666,8,0,50.00
596598475_1312001607620647_454967944287085545_n.jpg,part2,1312001607620647,1312001604287314,3333333,3333333,9,0,56.25
593588430_1307912408029567_6817882669599509117_n.jpg,part2,1307912408029567,1307912404696234,3333333,3333333,9,0,56.25
555953214_1247778350709640_2624016389728661080_n.jpg,part2,1247778350709640,1247778347376307,3333333,3333333,8,0,50.00
548143876_1242043707949771_2035335107076539863_n.jpg,part2,1242043707949771,1242043697949772,9999999,9999999,7,0,81.25
560622028_1258995379587937_6124677649398923900_n.jpg,part2,1258995379587937,1258995376254604,3333333,3333333,9,0,56.25
582356179_1296822329138575_4076761382876011658_n.jpg,part2,1296822329138575,1296822325805242,3333333,3333333,9,0,56.25
615813325_1342033977950743_2574120216306378998_n.jpg,part2,1342033977950743,1342033971284077,6666666,6666666,9,0,56.25
547640738_1235007688653373_2885233708682722916_n.jpg,part2,1235007688653373,1235007685320040,3333333,3333333,9,0,56.25
624205493_1354263850061089_4127581412530344022_n.jpg,part2,1354263850061089,1354263846727756,3333333,3333333,8,0,50.00
579093728_1289331803220961_7852137756055421498_n.jpg,part2,1289331803220961,1289331799887628,3333333,3333333,7,0,43.75
545544123_1233171682170307_8151046169028974159_n.jpg,part2,1233171682170307,1233171678836974,3333333,3333333,8,0,50.00
550449886_1243008764519932_4815485489557206788_n.jpg,part2,1243008764519932,1243008761186599,3333333,3333333,9,0,56.25
528949513_1204571475030328_4201255662453613049_n.jpg,part2,1204571475030328,1204571471696995,3333333,3333333,9,0,56.25
592094987_1306941951459946_3717354297106314682_n.jpg,part2,1306941951459946,1306941944793280,6666666,6666666,8,0,50.00
623572511_1355981526555988_5868925443407507546_n.jpg,part2,1355981526555988,1355981519889322,6666666,6666666,8,0,50.00
560578420_1264118082409000_605090433577472438_n.jpg,part2,1264118082409000,1264118079075667,3333333,3333333,8,0,50.00
597856336_1316538943833580_4839686208653074458_n.jpg,part2,1316538943833580,1316538940500247,3333333,3333333,9,0,56.25
529403200_1205518461602296_7025530248838736161_n.jpg,part2,1205518461602296,1205518458268963,3333333,3333333,8,0,50.00
596058132_1312503827570425_5645458739163018571_n.jpg,part2,1312503827570425,1312503824237092,3333333,3333333,9,0,56.25
605730006_1331973085623499_7541354927491172511_n.jpg,part2,1331973085623499,1331973082290166,3333333,3333333,9,0,56.25
565184505_1269535075200634_2466559889388636596_n.jpg,part2,1269535075200634,1269535068533968,6666666,6666666,8,0,50.00
520297799_1189914253162717_2482387423183099811_n.jpg,part2,1189914253162717,1189914249829384,3333333,3333333,8,0,50.00
625089992_1355985943222213_324496574161452458_n.jpg,part2,1355985943222213,1355985936555547,6666666,6666666,8,0,50.00
626363318_1360978672722940_3307913168829534922_n.jpg,part2,1360978672722940,1360978669389607,3333333,3333333,8,0,50.00
623378605_1355983613222446_3650640450759368144_n.jpg,part2,1355983613222446,1355983609889113,3333333,3333333,8,0,50.00
558864038_1256709563149852_3240935452362666774_n.jpg,part2,1256709563149852,1256709556483186,6666666,6666666,8,0,50.00
622723244_1355981969889277_7025766084251505154_n.jpg,part2,1355981969889277,1355981959889278,9999999,9999999,8,0,87.50
626070463_1355982623222545_1829369462295681377_n.jpg,part2,1355982623222545,1355982616555879,6666666,6666666,8,0,50.00
623271440_1355982903222517_6499084414409270443_n.jpg,part2,1355982903222517,1355982899889184,3333333,3333333,7,0,43.75
529231176_1202777675209708_1523360814409082402_n.jpg,part2,1202777675209708,1202777668543042,6666666,6666666,8,0,50.00
625999582_1355982569889217_4622488666897751489_n.jpg,part2,1355982569889217,1355982566555884,3333333,3333333,9,0,56.25
540874476_1226173519536790_1586521716844477515_n.jpg,part2,1226173519536790,1226173516203457,3333333,3333333,9,0,56.25
737730524_1492653606222112_3521023425869206524_n.jpg,part2,1492653606222112,1492653596222113,9999999,9999999,7,0,81.25
615408611_1344442067709934_4443153685045641951_n.jpg,part2,1344442067709934,1344442061043268,6666666,6666666,9,0,56.25
622424486_1354661243354683_3219351996920784789_n.jpg,part2,1354661243354683,1354661240021350,3333333,3333333,9,0,56.25
560155380_1264094225744719_3643424192891395008_n.jpg,part2,1264094225744719,1264094215744720,9999999,9999999,8,0,81.25
534728176_1211668264320649_3784477604378734134_n.jpg,part2,1211668264320649,1211667954320680,309999969,309999969,6,0,68.75
622383005_1355982156555925_6968476080073381242_n.jpg,part2,1355982156555925,1355982149889259,6666666,6666666,8,0,50.00
595818970_1311926454294829_5117738678595937087_n.jpg,part2,1311926454294829,1311926450961496,3333333,3333333,9,0,56.25
625426848_1355982096555931_1159793690511146836_n.jpg,part2,1355982096555931,1355982093222598,3333333,3333333,9,0,56.25
624636402_1355988039888670_3538327439269850742_n.jpg,part2,1355988039888670,1355988033222004,6666666,6666666,9,0,56.25
625011613_1355984576555683_5066774021114529403_n.jpg,part2,1355984576555683,1355984569889017,6666666,6666666,8,0,50.00
536269751_1216448847175924_1311710745362849734_n.jpg,part2,1216448847175924,1216448843842591,3333333,3333333,9,0,56.25
717642484_1467297402091066_3937322446710544000_n.jpg,part2,1467297402091066,1467297388757734,13333332,13333332,7,0,43.75
548564410_1242157117938430_6705443567316732647_n.jpg,part2,1242157117938430,1242157114605097,3333333,3333333,9,0,56.25
558062097_1256709419816533_4521317329710550520_n.jpg,part2,1256709419816533,1256709416483200,3333333,3333333,9,0,56.25
558108784_1254762526677889_6181512008833511669_n.jpg,part2,1254762526677889,1254762516677890,9999999,9999999,8,0,81.25
575177973_1286274783526663_2309419015613839133_n.jpg,part2,1286274783526663,1286274780193330,3333333,3333333,9,0,56.25
527236701_1198497025637773_5961773489503137137_n.jpg,part2,1198497025637773,1198497018971107,6666666,6666666,8,0,50.00
559737481_1258018426352299_3887732123279189364_n.jpg,part2,1258018426352299,1258018423018966,3333333,3333333,9,0,56.25
548166162_1239488898205252_2226035122246428947_n.jpg,part2,1239488898205252,1239488808205261,89999991,89999991,8,0,81.25
528313075_1203564171797725_3462693903620454990_n.jpg,part2,1203564171797725,1203564168464392,3333333,3333333,8,0,50.00
623291774_1354661690021305_820199533043563376_n.jpg,part2,1354661690021305,1354661683354639,6666666,6666666,8,0,50.00
521285377_1189954336492042_619785355411162934_n.jpg,part2,1189954336492042,1189954333158709,3333333,3333333,9,0,56.25
622255016_1354662170021257_5658624762425755882_n.jpg,part2,1354662170021257,1354662166687924,3333333,3333333,8,0,50.00
645406672_1382208043933336_2304623953816008681_n.jpg,part2,1382208043933336,1382208040600003,3333333,3333333,9,0,56.25
557950954_1258871742933634_3900723532160629910_n.jpg,part2,1258871742933634,1258871739600301,3333333,3333333,8,0,50.00
709134939_1460310682789738_4361799227245387435_n.jpg,part2,1460310682789738,1460310679456405,3333333,3333333,8,0,50.00
623561881_1355984679889006_4354401524012771066_n.jpg,part2,1355984679889006,1355984676555673,3333333,3333333,9,0,56.25
622745494_1354264193394388_7504386379445338230_n.jpg,part2,1354264193394388,1354264190061055,3333333,3333333,9,0,56.25
524138901_1192444336243042_6688719104774002275_n.jpg,part2,1192444336243042,1192444332909709,3333333,3333333,9,0,56.25
622369091_1354264473394360_6410829154942881687_n.jpg,part2,1354264473394360,1354264470061027,3333333,3333333,9,0,56.25
623850528_1355985116555629_4450658612987153076_n.jpg,part2,1355985116555629,1355985109888963,6666666,6666666,8,0,50.00
623801036_1355986783222129_7768156833545375439_n.jpg,part2,1355986783222129,1355986779888796,3333333,3333333,8,0,50.00
529256613_1207324351421707_5900323426380615736_n.jpg,part2,1207324351421707,1207324344755041,6666666,6666666,8,0,50.00
552729691_1246042010883274_6813084065870691855_n.jpg,part2,1246042010883274,1246042004216608,6666666,6666666,8,0,50.00
624511708_1354661543354653_2672720491201782218_n.jpg,part2,1354661543354653,1354661540021320,3333333,3333333,9,0,56.25
558188319_10163876487166834_7799834301685990762_n.jpg,part2,10163876487166834,10163876487161834,5000,5000,13,3,94.12
725205679_26911000331929716_6553757182769659669_n.png,part2,26911000331929716,10165103768651834,16745896563277882,16745896563277882,0,0,5.88
690650372_10164896349151834_4083737499966802222_n.jpg,part2,10164896349151834,10164896349146834,5000,5000,12,3,88.24
719224041_985068077483784_4487178347826429235_n.png,part2,985068077483784,10165065917686834,-9179997840203050,9179997840203050,0,1,0.00
587698354_10164074842316834_3662084678374519919_n.jpg,part2,10164074842316834,10164074842311834,5000,5000,13,3,94.12
517400039_10163409480361834_6349789742143138300_n.jpg,part2,10163409480361834,10163409480346834,15000,15000,12,3,88.24
641387348_10164546896676834_5001138043159767503_n.jpg,part2,10164546896676834,10164546896656834,20000,20000,12,4,94.12
612658388_10164304754246834_5832437839254473050_n.jpg,part2,10164304754246834,10164304754241834,5000,5000,13,3,94.12
609061162_10164285928061834_6011660348568123964_n.jpg,part2,10164285928061834,10164285928051834,10000,10000,12,4,94.12
575176565_10163997643426834_6074782346917873958_n.jpg,part2,10163997643426834,10163997643416834,10000,10000,12,4,94.12
606021569_10164266316421834_4525982563738096708_n.jpg,part2,10164266316421834,10164266316411834,10000,10000,12,4,94.12
594981657_10164132119171834_2638134910630609869_n.jpg,part2,10164132119171834,10164132119166834,5000,5000,12,3,88.24
600532859_10164226549321834_1447240873860848513_n.jpg,part2,10164226549321834,10164226549316834,5000,5000,12,3,88.24
597374594_10164179446191834_7409680028336977064_n.jpg,part2,10164179446191834,10164179446176834,15000,15000,12,3,88.24
701312546_10164956777461834_7180094000907495869_n.jpg,part2,10164956777461834,10164956777456834,5000,5000,12,3,88.24
612038016_10164317732271834_1133688399885373883_n.jpg,part2,10164317732271834,10164317732256834,15000,15000,12,3,88.24
